"id","model_id","main_crop","intervention_recla","intervention_recla_detail_1","intervention_recla_detail_2","intervention_recla_detail_3","y_metric_recla","effect_size_type","x_metric_raw","x_metric_recla","x_metric_unit","model_analysis_raw","model_method","coefficient_type","coefficient","coefficient_num","variance_metric","variance_value","variance_value_num","z_t_value","z_t_value_num","p_value","p_value_num","df_original","n_predictors","n_predictors_num","n_samples","n_samples_num","country","x_metric_unit_recla","factor","factor_metric_unit"
"35",1,"Cereals","agroforestry","woodlot","exotic tree species",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Membership: Member of farmers’ group and organization","hh association member","1= yes, 0= no","Multinomial Logit (MNL) model","logit","coefficient value","0.217",0.217,"p value","3.7999999999999999E-2",0.038,"nd",NA,"3.7999999999999999E-2",0.038,"nd","16",16,210,210,"Nepal","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"35",2,"Cereals","agroforestry","alley cropping","exotic tree species","mixied","diversity adoption (1=yes, 0=no)","partial correlation","Membership: Member of farmers’ group and organization","hh association member","1= yes, 0= no","Multinomial Logit (MNL) model","logit","coefficient value","0.115",0.115,"p value","1.9E-2",0.019,"nd",NA,"1.9E-2",0.019,"nd","16",16,222,222,"Nepal","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"44",1,"nd","agroforestry","alley cropping","unespecified","n fixing","diversity adoption (1=yes, 0=no)","partial correlation","FAS (membership of farmers' associations)","hh association member","1= yes, 0= no","Logit model","logit","coefficient value","2.4813000000000001",2.4813,"standard error","0.6472",0.6472,"3.8340000000000001",3.834,"0.05",0.05,"nd","14",14,156,156,"Cameroon","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"45",1,"nd","agroforestry","alley cropping","unespecified","n fixing","diversity adoption (1=yes, 0=no)","partial correlation","FAS (membership of farmers associations)","hh association member","1= yes, 0= no","Logit model by a maximum likelihood method","logit","coefficient value","0.38169999999999998",0.3817,"standard error","0.64659999999999995",0.6466,"nd",NA,"0.55489999999999995",0.5549,"nd","20",20,223,223,"Nigeria","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"45",2,"nd","agroforestry and fallow","alley cropping with fallow periods","unespecified","n fixing","diversity adoption (1=yes, 0=no)","partial correlation","FAS (membership of farmers associations)","hh association member","1= yes, 0= no","Logit model by a maximum likelihood method","logit","coefficient value","-1.0364",-1.0364,"standard error","1.7605999999999999",1.7606,"nd",NA,"0.55610000000000004",0.5561,"nd","12",12,223,223,"Nigeria","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"89",1,"nd","agroforestry","alley cropping","unespecified","unespecified","diversity adoption (1=yes, 0=no)","partial correlation","Farmers' assocn. mem. (FAM)","hh association member","1= yes, 0= no","Logistic regression model","logit","coefficient value","2.5099999999999998",2.51,"standard error","0.56799999999999995",0.568,"3.6520000000000001",3.652,"0.05",0.05,"nd","14",14,160,160,"Sierra Leone","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"93",1,"Maize","intercropping","annual crops",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Member of agricultural groups/projects","hh association member","1= yes, 0= no","Logistic regression model","logit","coefficient value","-0.36",-0.36,"standard error","0.37",0.37,"nd",NA,"nd",NA,"nd","9",9,320,320,"Kenya","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"104",1,"nd","agroforestry","unspecified",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Cooperative society","hh association member","1= yes, 0= no","Multinomial logit (MNL) model","logit","coefficient value","1.22",1.22,"standard error","0.28199999999999997",0.282,"nd",NA,"0.1",0.1,"nd","11",11,120,120,"Nigeria","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"104",2,"nd","crop rotation","cover crops","maintain soil moisture",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Cooperative society","hh association member","1= yes, 0= no","Multinomial logit (MNL) model","logit","coefficient value","-1.8520000000000001",-1.852,"standard error","1",1,"nd",NA,"0.1",0.1,"nd","11",11,120,120,"Nigeria","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"114",1,"Soybean","integrated crop-livestock",NA,NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","participation in networks","hh association member","No membership (a), member of professional associations or unions (b), both (c)","logistic regression","logit","marginal effect","0.112",0.112,"standard error","6.2E-2",0.062,"nd",NA,"nd",NA,"14","14",14,145,145,"Brazil","No membership (a), member of professional associations or unions (b), both (c)","hh association member","hh association member (No membership (a), member of professional associations or unions (b), both (c))"
"141",11,"nd","agroforestry","homegarden",NA,NA,"abundance","partial correlation","household involved in community based organization","hh association member","1= yes, 0= no","OLS regression model","OLS","coefficient value","6.7619999999999996",6.762,"standard error","10.118",10.118,"0.67",0.67,"0.505",0.505,"na","10",10,267,267,"Nepal","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"190",1,"nd","crop rotation","rotation of annual crops","undefined",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Farmer group (=1 if yes)","hh association member","1= yes, 0= no","random-effects probit model with Mundlak approach;","probit","coefficient value","1.4E-2",0.014,"standard error","8.0000000000000002E-3",0.008,"nd",NA,"0.1",0.1,"nd","24",24,28593,28593,"Vietnam","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"190",2,"nd","intercropping","unespecified",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Farmer group (=1 if yes)","hh association member","1= yes, 0= no","random-effects probit model with Mundlak approach;","probit","coefficient value","2E-3",0.002,"standard error","3.0000000000000001E-3",0.003,"nd",NA,"nd",NA,"nd","24",24,29323,29323,"Vietnam","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"190",3,"nd","land with temporary fallow","natural fallow",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Farmer group (=1 if yes)","hh association member","1= yes, 0= no","random-effects probit model with Mundlak approach;","probit","coefficient value","-7.0000000000000001E-3",-0.007,"standard error","6.0000000000000001E-3",0.006,"nd",NA,"nd",NA,"nd","23",23,27233,27233,"Vietnam","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"236",1,"Maize, rice","grazing cut and carry","agroforestry",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Cash-crop cooperative membership","hh association member","1= yes, 0= no","Logistic regression","logit","coefficient value","-1.7230000000000001",-1.723,"p value","1.0999999999999999E-2",0.011,"nd",NA,"1.0999999999999999E-2",0.011,"nd","12",12,150,150,"Indonesia","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"270",1,"Maize","intercropping","annual crops","n fixing",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Household group membership","hh association member","1= yes, 0= no","Multivariate probit model","probit","coefficient value","0.153",0.153,"robust standard error","6.6000000000000003E-2",0.066,"nd",NA,"0.05",0.05,"nd","30",30,2687,2687,"Kenya","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"270",2,"Maize","crop rotation","rotation of annual crops","n fixing",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Household group membership","hh association member","1= yes, 0= no","Multivariate probit model","probit","coefficient value","3.6999999999999998E-2",0.037,"robust standard error","6.3E-2",0.063,"nd",NA,"nd",NA,"nd","30",30,2687,2687,"Kenya","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"286",1,"Vegetables","crop rotation","rotation of annual crops","undefined",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Farmer group membership","hh association member","1= yes, 0= no","logistic regression","logit","coefficient value","0.375",0.375,"p value","nd",NA,"nd",NA,"nd",NA,"nd","11",11,112,112,"Indonesia","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"286",2,"Vegetables","crop rotation","rotation of annual crops","undefined",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Farmer group membership","hh association member","1= yes, 0= no","logistic regression","logit","coefficient value","1.6259999999999999",1.626,"p value","0.1",0.1,"nd",NA,"0.1",0.1,"nd","11",11,112,112,"Indonesia","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"290",1,"Potato, wheat","agroforestry","alley cropping","exotic trees species",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Association","hh association member","1= yes, 0= no","Probit double-hurdle model","probit","coefficient value","4.8230000000000004",4.823,"robust standard error","0.34799999999999998",0.348,"nd",NA,"0.01",0.01,"nd","24",24,313,313,"Ethiopia","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"290",2,"Potato, wheat","agroforestry","alley cropping","exotic trees species",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Association","hh association member","1= yes, 0= no","Truncated double-hurdle model","truncated","coefficient value","-0.26",-0.26,"robust standard error","0.22700000000000001",0.227,"nd",NA,"nd",NA,"nd","24",24,313,313,"Ethiopia","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"337",1,"Maize","crop rotation","rotation of annual crops","undefined",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Group membership","hh association member","1= yes, 0= no","logit regressions","logit","coefficient value","0.60199999999999998",0.602,"standard error","0.16500000000000001",0.165,"nd",NA,"0.01",0.01,"nd","13",13,3155,3155,"Ethiopia, Ghana, Kenya, Malawi,  Mozambique, Nigeria, Tanzania, Uganda,  Zambia","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"348",9,"nd","land with temporary fallow","natural fallow",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Involve in community","hh association member","1= yes, 0= no","linear probability model (LPM)","other","coefficient value","0.03",0.03,"standard error","0.02",0.02,"nd",NA,"nd",NA,"nd","19",19,5060,5060,"Nepal","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"348",10,"nd","land with temporary fallow","natural fallow",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Involve in community","hh association member","1= yes, 0= no","logit marginal model","logit","marginal effect","0.03",0.03,"standard error","0.02",0.02,"nd",NA,NA,NA,"nd","19",19,5060,5060,"Nepal","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"348",11,"nd","land with temporary fallow","natural fallow",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Involve in community","hh association member","1= yes, 0= no","instrumental variable IV model","instrumental_variable","coefficient value","0.03",0.03,"standard error","0.02",0.02,"nd",NA,"nd",NA,"nd","19",19,5060,5060,"Nepal","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"430",1,"nd","integrated crop-livestock",NA,NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","farmers' organization","hh association member","1= yes, 0= no","multinomial logit analysis","logit","coefficient value","-0.183",-0.183,"p value","0.877",0.877,"nd",NA,"0.877",0.877,"nd","6",6,120,120,"Benin","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"430",2,"nd","agroforestry","unespecified",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","farmers' organization","hh association member","1= yes, 0= no","multinomial logit analysis","logit","coefficient value","-1.607",-1.607,"p value","0.23",0.23,"nd",NA,"0.23",0.23,"nd","6",6,120,120,"Benin","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"452",1,"Maize","intercropping","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Household belongs to farming group","hh association member","1= yes, 0= no","probit regression model","probit","coefficient value","3.9E-2",0.039,"standard error","4.9000000000000002E-2",0.049,"nd",NA,"nd",NA,"nd","9",9,400,400,"Zambia","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"452",2,"nd","agroforestry","unespecified",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Household belongs to farming group","hh association member","1= yes, 0= no","probit regression model","probit","coefficient value","3.7999999999999999E-2",0.038,"standard error","0",0,"nd",NA,"nd",NA,"nd","9",9,400,400,"Zambia","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"473",1,"Maize","intercropping","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Participation in farmers' group or association (1=yes; 0=no)","hh association member","1= yes, 0= no","multivariate probit mode","probit","coefficient value","0.23400000000000001",0.234,"standard error","7.9000000000000001E-2",0.079,"nd",NA,"0.01",0.01,"nd","32",32,1539,1539,"Tanzania","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"473",2,"Maize","crop rotation","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Participation in farmers' group or association (1=yes; 0=no)","hh association member","1= yes, 0= no","multivariate probit mode","probit","coefficient value","1E-3",0.001,"standard error","0.104",0.104,"nd",NA,"nd",NA,"nd","32",32,1539,1539,"Tanzania","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"476",1,"Maize","crop rotation","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","member in input ⁄ marketing ⁄ labour rural institutions ⁄ group","hh association member","1= yes, 0= no","multivariate probit mode","probit","coefficient value","0.28999999999999998",0.29,"standard error","0.09",0.09,"nd",NA,"0.01",0.01,"nd","30",30,1616,1616,"Ethiopia","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"489",1,"Sorghum","crop rotation","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Membership to farmer group","hh association member","1= yes, 0= no","Logit regression","logit","coefficient value","0.40699999999999997",0.407,"p value","nd",NA,"nd",NA,"nd",NA,"nd","11",11,120,120,"Uganda","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"489",2,"Sorghum","intercropping","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Membership to farmer group","hh association member","1= yes, 0= no","Logit regression","logit","coefficient value","-0.63300000000000001",-0.633,"p value","nd",NA,"nd",NA,"nd",NA,"nd","11",11,120,120,"Uganda","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"500",1,"Soybean","crop rotation","rotation of annual crops","undefined",NA,"diversity adoption (1=yes, 0=no)","partial correlation","social interaction resulting from membership in farmers’ organization","hh association member","1= yes, 0= no","tobit model","tobit","coefficient value","-8.7999999999999995E-2",-0.088,"t value","-0.52500000000000002",-0.525,"-0.52500000000000002",-0.525,"nd",NA,"nd","11",11,400,400,"Nigeria","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"517",1,"nd","agroforestry","undefined",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","MEMASS membership of association","hh association member","1= yes, 0= no","Probit regression model","probit","coefficient value","0.29120000000000001",0.2912,"p value","0.1459",0.1459,"nd",NA,"0.1459",0.1459,"nd","14",14,400,400,"Nigeria","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"543",1,"Rubber","agroforestry","undefined",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","SOPC Whether a farmer is a member of any farm organization or not","hh association member","1= yes, 0= no","logit model","logit","coefficient value","0.28999999999999998",0.29,"standard error","0.54",0.54,"0.53",0.53,"nd",NA,"nd","17",17,588,588,"India","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"568",1,"Maize","pull-push",NA,NA,NA,"intensity (area under diversified farming system)","partial correlation","Group membership","hh association member","1= yes, 0= no","Generalized Propensity score","other","marginal effect","0.23400000000000001",0.234,"standard error","0.124",0.124,"nd",NA,"0.1",0.1,"nd","18",18,560,560,"Uganda","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"624",1,"Maize","intercropping or crop rotation","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","if member in input/marketing/labor rural institutions/group","hh association member","1= yes, 0= no","multivariate probit model","probit","coefficient value","0.30199999999999999",0.302,"p value","nd",NA,"nd",NA,"nd",NA,"nd","27",27,1500,1500,"Kenya","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"624",2,"Maize","intercropping or crop rotation","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","if member in input/marketing/labor rural institutions/group","hh association member","1= yes, 0= no","multivariate probit model","probit","coefficient value","4.8000000000000001E-2",0.048,"p value","nd",NA,"nd",NA,"nd",NA,"nd","28",28,29373,29373,"Malawi","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"624",3,"Maize","intercropping or crop rotation","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","if member in input/marketing/labor rural institutions/group","hh association member","1= yes, 0= no","multivariate probit model","probit","coefficient value","0.27900000000000003",0.279,"p value","0.01",0.01,"nd",NA,"0.01",0.01,"nd","27",27,3861,3861,"Ethiopia","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"624",4,"Maize","intercropping or crop rotation","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","if member in input/marketing/labor rural institutions/group","hh association member","1= yes, 0= no","multivariate probit model","probit","coefficient value","0.153",0.153,"p value","nd",NA,"nd",NA,"nd",NA,"nd","27",27,1539,1539,"Tanzania","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"633",NA,"nd","agroforestry","unespecified",NA,NA,"intensity (percentage of area under diversified farming system)","partial correlation","Social participation","hh association member","number of organizations the hh is member","multiple regression analysis","other","coefficient value","0.11600000000000001",0.116,"p value","2.1000000000000001E-2",0.021,"nd",NA,"2.1000000000000001E-2",0.021,"nd","11",11,300,300,"Sudan","number of organizations the hh is member","hh association member","hh association member (number of organizations the hh is member)"
"638",1,"nd","agroforestry","unespecified",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Associations membership","hh association member","1= yes, 0= no","logit regression model","logit","marginal effect","0.05",0.05,"p value","0.1",0.1,"nd",NA,"0.1",0.1,"nd","27",27,595,595,"Kenya","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"640",1,"Maize","crop rotation","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Group membership","hh association member","1= yes, 0= no","mixed multinomial logit (MMNL) model","logit","coefficient value","-0.51",-0.51,"standard error","0.39",0.39,"nd",NA,"nd",NA,"nd","30",30,810,810,"Zambia","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"646",1,"nd","crop rotation","unespecified",NA,NA,"intensity (percentage of area under diversified farming system)","partial correlation","Household head belongs to a farmers association","hh association member","1= yes, 0= no","tobit regression model","tobit","marginal effect","5.1999999999999998E-2",0.052,"standard error","0.23",0.23,"nd",NA,NA,NA,"nd","14",14,100,100,"Zimbabwe","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"674",1,"nd","intercropping",NA,NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Membership in organisations Village council","hh association member","1= yes, 0= no","Probit model","probit","marginal effect","0.26179999999999998",0.2618,"standard error","0.18579999999999999",0.1858,"nd",NA,"0.05",0.05,"nd","36",36,1533,1533,"Ethiopia","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"674",1,"nd","intercropping",NA,NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Membership in a marketing cooperative","hh association member","1= yes, 0= no","Probit model","probit","marginal effect","2.1600000000000001E-2",0.0216,"standard error","2.9700000000000001E-2",0.0297,"nd",NA,"nd",NA,"nd","36",36,1533,1533,"Ethiopia","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"674",1,"nd","intercropping",NA,NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Membership in a Agricultural cadre¹","hh association member","1= yes, 0= no","Probit model","probit","marginal effect","1.1000000000000001E-3",0.0011,"standard error","5.6399999999999999E-2",0.0564,"nd",NA,"nd",NA,"nd","36",36,1533,1533,"Ethiopia","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"674",2,"nd","intercropping",NA,NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Membership in organisations Tabia council","hh association member","1= yes, 0= no","instrumental variables (IV) estimation","instrumental_variable","coefficient value","-0.71450000000000002",-0.7145,"standard error","0.87780000000000002",0.8778,"nd",NA,"nd",NA,"nd","38",38,1440,1440,"Ethiopia","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"674",2,"nd","intercropping",NA,NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Membership in organisations Village council","hh association member","1= yes, 0= no","instrumental variables (IV) estimation","instrumental_variable","coefficient value","0.31130000000000002",0.3113,"standard error","0.30640000000000001",0.3064,"nd",NA,"nd",NA,"nd","38",38,1440,1440,"Ethiopia","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"674",2,"nd","intercropping",NA,NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Membership in a marketing cooperative","hh association member","1= yes, 0= no","instrumental variables (IV) estimation","instrumental_variable","coefficient value","-0.20200000000000001",-0.202,"standard error","0.23569999999999999",0.2357,"nd",NA,"nd",NA,"nd","38",38,1440,1440,"Ethiopia","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"674",2,"nd","intercropping",NA,NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Membership in a Agricultural cadre¹","hh association member","1= yes, 0= no","instrumental variables (IV) estimation","instrumental_variable","coefficient value","-9.4799999999999995E-2",-0.0948,"standard error","0.76700000000000002",0.767,"nd",NA,"nd",NA,"nd","38",38,1440,1440,"Ethiopia","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"701",1,"nd","agroforestry","alley cropping","n fixing",NA,"diversity adoption (1=yes, 0=no)","partial correlation","FAS Measures whether or not the farmer belongs to a farmers’ group","hh association member","1= yes, 0= no","logit regression","logit","coefficient value","1.4847999999999999",1.4848,"t value","5.8710000000000004",5.871,"5.8710000000000004",5.871,"0.01",0.01,"nd","14",14,676,676,"Cameroon","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"701",2,"nd","land with temporary fallow","improved fallow","tree planting",NA,"diversity adoption (1=yes, 0=no)","partial correlation","FAS Measures whether or not the farmer belongs to a farmers’ group","hh association member","1= yes, 0= no","logit regression","logit","coefficient value","1.0119",1.0119,"t value","4.2789999999999999",4.279,"4.2789999999999999",4.279,"0.01",0.01,"nd","14",14,675,675,"Cameroon","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"701",3,"nd","agroforestry","boundary planting","living fences or hedgerows",NA,"diversity adoption (1=yes, 0=no)","partial correlation","FAS Measures whether or not the farmer belongs to a farmers’ group","hh association member","1= yes, 0= no","logit regression","logit","coefficient value","0.52856000000000003",0.52856,"t value","2.319",2.319,"2.319",2.319,"0.05",0.05,"nd","14",14,676,676,"Cameroon","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"701",4,"nd","grazing cut and carry","agro-silvopasture",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","FAS Measures whether or not the farmer belongs to a farmers’ group","hh association member","1= yes, 0= no","logit regression","logit","coefficient value","1.1706000000000001",1.1706,"t value","4.0940000000000003",4.094,"4.0940000000000003",4.094,"0.01",0.01,"nd","14",14,676,676,"Cameroon","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"737",1,"Jatropha","agroforestry","exotic trees",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Is the farmer a member of a farmers’ union","hh association member","1= yes, 0= no","logistic multilevel models","logit","coefficient value","1.7",1.7,"standard error","0.73",0.73,"nd",NA,"0.05",0.05,"nd","37",37,2312,2312,"Mali","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"737",2,"Jatropha","agroforestry","exotic trees",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Is the farmer a member of a farmers’ union","hh association member","1= yes, 0= no","logistic multilevel models","logit","coefficient value","1.8",1.8,"standard error","0.83",0.83,"nd",NA,"0.05",0.05,"nd","37",37,2312,2312,"Mali","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"754",1,"Maize","intercropping or crop rotation","n fixing",NA,NA,"diversity adoption (1= no, 2= yes)","partial correlation","Group membership of a rural institution","hh association member","1= yes, 0= no","multinomial logit model","logit","coefficient value","2.4E-2",0.024,"standard error","0.121",0.121,"nd",NA,"nd",NA,"nd","27",27,2937,2937,"Malawi","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"754",2,"Maize","intercropping or crop rotation","n fixing",NA,NA,"diversity adoption (1= no, 2= yes)","partial correlation","Group membership of a rural institution","hh association member","1= yes, 0= no","multinomial logit model","logit","coefficient value","-0.34799999999999998",-0.348,"standard error","0.161",0.161,"nd",NA,"0.05",0.05,"nd","27",27,2937,2937,"Malawi","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"792",3,"Maize","intercropping","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Member of farmer group","hh association member","1= yes, 0= no","seemingly unrelated probit model","probit","coefficient value","-0.17",-0.17,"standard error","0.21",0.21,"nd",NA,"nd",NA,"nd","22",22,613,613,"Tanzania","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"792",4,"Pigeonpea","intercropping","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Member of farmer group","hh association member","1= yes, 0= no","seemingly unrelated probit model","probit","coefficient value","-0.26",-0.26,"standard error","0.24",0.24,"nd",NA,"nd",NA,"nd","23",23,613,613,"Tanzania","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"792",1,"Maize","intercropping","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Member of farmer group","hh association member","1= yes, 0= no","recursive bivariate probit","probit","coefficient value","-0.16",-0.16,"standard error","0.23",0.23,"nd",NA,"nd",NA,"nd","22",22,613,613,"Tanzania","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"792",2,"Pigeonpea","intercropping","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Member of farmer group","hh association member","1= yes, 0= no","recursive bivariate probit","probit","coefficient value","-0.2",-0.2,"standard error","0.19",0.19,"nd",NA,"nd",NA,"nd","23",23,613,613,"Tanzania","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"800",1,"nd","embedded seminatural infrastructures","field margins","grass or weedy buffer strips",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Member (dummy)","hh association member","1= yes, 0= no","Probit model","probit","coefficient value","0.84",0.84,"p value","0.05",0.05,"nd",NA,"0.05",0.05,"nd","8",8,70,70,"Philippines","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"800",2,"nd","embedded seminatural infrastructures","field margins","grass or weedy buffer strips",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Member (dummy)","hh association member","1= yes, 0= no","Probit model","probit","coefficient value","0.34",0.34,"p value","nd",NA,"nd",NA,"nd",NA,"nd","8",8,70,70,"Philippines","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"807",1,"nd","agroforestry","alley cropping","unespecified",NA,"diversity adoption (1=yes, 0=no)","partial correlation","FAS (membership of farmers' associations)","hh association member","1= yes, 0= no","Logit model","logit","coefficient value","2.4813000000000001",2.4813,"standard error","0.6472",0.6472,"3.8340000000000001",3.834,"0.05",0.05,"nd","14",14,256,256,"Cameroon","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
